2019-12-02 18:48:36	系统	系统	参数配置文件加载完成
2019-12-02 18:48:53	系统	系统	初始化机器人控制器成功
2019-12-02 18:48:54	系统	系统	连接PLC失败
2019-12-02 18:58:04	系统	系统	参数配置文件加载完成
2019-12-02 18:58:22	系统	系统	初始化机器人控制器成功
2019-12-02 18:58:24	系统	系统	连接PLC失败
2019-12-02 19:04:46	系统	系统	参数配置文件加载完成
2019-12-02 19:05:04	系统	系统	初始化机器人控制器成功
2019-12-02 19:05:06	系统	系统	连接PLC失败
2019-12-02 19:22:56	系统	系统	参数配置文件加载完成
2019-12-02 19:23:17	系统	系统	初始化机器人控制器成功
2019-12-02 19:23:21	系统	系统	连接PLC失败
2019-12-02 19:28:09	系统	系统	参数配置文件加载完成
2019-12-02 19:28:28	系统	系统	初始化机器人控制器成功
2019-12-02 19:28:29	系统	系统	连接PLC失败
2019-12-02 19:42:19	系统	系统	参数配置文件加载完成
2019-12-02 19:42:35	系统	系统	初始化机器人控制器成功
2019-12-02 19:42:37	系统	系统	连接PLC失败
2019-12-02 19:44:37	系统	系统	参数配置文件加载完成
2019-12-02 19:44:53	系统	系统	初始化机器人控制器成功
2019-12-02 19:44:55	系统	系统	连接PLC失败
